price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,city,district
1.6956156086751528,4.174387269895637,1.6094379124341003,1.6094379124341003,1,1,1,1,1,2.0794415416798357,1.6094379124341003,0,1
1.8870696490323797,4.174387269895637,1.6094379124341003,1.6094379124341003,1,1,1,1,1,2.5649493574615367,1.7047480922384253,0,0
0.9162907318741551,3.4657359027997265,1.3862943611198906,1.3862943611198906,0,0,0,0,1,1.3862943611198906,1.6094379124341003,1,0
0.7514160886839212,3.4339872044851463,1.3862943611198906,1.3862943611198906,0,0,0,0,0,1.3862943611198906,1.6094379124341003,1,0
2.423031246069913,4.23410650459726,1.6094379124341003,1.791759469228055,0,0,0,0,0,2.1972245773362196,,0,1
0.9895411936137477,3.8066624897703196,1.3862943611198906,1.0986122886681096,0,0,0,0,0,1.252762968495368,1.3862943611198906,1,0
1.791759469228055,3.828641396489095,1.791759469228055,1.791759469228055,1,1,1,0,1,1.3862943611198906,1.7047480922384253,1,1
1.252762968495368,3.58351893845611,1.791759469228055,1.3862943611198906,1,1,1,0,0,1.3862943611198906,,1,0
1.7578579175523736,4.110873864173311,1.6094379124341003,1.6094379124341003,1,1,1,1,1,2.5649493574615367,1.6094379124341003,0,0
1.599387576580599,4.564348191467836,1.0986122886681096,1.6094379124341003,1,1,1,1,1,2.1972245773362196,1.791759469228055,0,1
1.7578579175523736,4.110873864173311,1.3862943611198906,1.6094379124341003,1,1,1,1,0,2.1972245773362196,1.6094379124341003,0,0
1.0577902941478545,3.58351893845611,1.3862943611198906,1.3862943611198906,1,1,1,1,0,1.791759469228055,1.791759469228055,0,0
2.5572273113676265,4.23410650459726,1.791759469228055,1.791759469228055,1,1,1,1,0,2.1972245773362196,1.791759469228055,1,1
2.6946271807700692,4.330733340286331,1.791759469228055,1.6094379124341003,1,1,1,1,0,2.3978952727983707,1.791759469228055,1,1
2.4849066497880004,4.51085950651685,1.9459101490553132,1.6094379124341003,0,0,0,0,1,2.0794415416798357,1.9459101490553132,1,1
2.6741486494265287,4.836281906951478,1.6094379124341003,1.791759469228055,1,1,1,1,1,1.791759469228055,2.0794415416798357,1,1
2.379546134130174,3.4339872044851463,1.0986122886681096,1.0986122886681096,0,0,0,0,1,2.5649493574615367,1.6486586255873816,1,1
2.766319109226186,4.204692619390966,1.3862943611198906,1.6094379124341003,1,1,0,1,1,2.5649493574615367,1.7404661748405044,0,1
2.4765384001174837,4.394449154672439,1.3862943611198906,1.791759469228055,1,1,1,1,0,2.1972245773362196,1.6094379124341003,0,1
2.151762203259462,4.406719247264253,1.791759469228055,1.6094379124341003,1,1,1,1,1,1.3862943611198906,,1,0
1.6094379124341003,3.6109179126442243,1.791759469228055,2.0794415416798357,1,1,1,1,0,1.3862943611198906,1.5260563034950494,1,1
1.9530276168241771,3.8066624897703196,1.6094379124341003,1.3862943611198906,1,1,1,0,0,1.3862943611198906,1.6094379124341003,0,1
1.8870696490323797,3.8918202981106265,1.6094379124341003,1.6094379124341003,1,1,1,0,0,1.3862943611198906,1.4586150226995167,1,1
2.639057329615259,4.110873864173311,1.6094379124341003,2.1972245773362196,1,1,1,1,0,2.1972245773362196,1.6486586255873816,0,1
1.3480731482996928,4.007333185232471,0.6931471805599453,1.0986122886681096,0,0,0,0,0,1.791759469228055,1.7047480922384253,0,0
1.791759469228055,3.9318256327243257,1.791759469228055,1.6094379124341003,0,0,0,0,1,1.791759469228055,1.791759469228055,1,1
2.5572273113676265,4.61512051684126,1.0986122886681096,1.6094379124341003,1,1,1,1,1,2.5649493574615367,1.6094379124341003,0,1
2.624668592163159,4.61512051684126,1.0986122886681096,1.3862943611198906,1,1,1,1,1,2.70805020110221,1.7047480922384253,0,1
2.302585092994046,3.828641396489095,2.0794415416798357,1.791759469228055,1,1,1,1,0,1.6094379124341003,1.791759469228055,1,1
1.9459101490553132,3.713572066704308,1.6094379124341003,1.6094379124341003,0,0,0,0,1,2.3978952727983707,2.0794415416798357,1,1
1.578978704949392,4.02535169073515,1.6094379124341003,1.6094379124341003,0,0,0,0,0,1.252762968495368,1.9459101490553132,1,0
1.9600947840472698,3.828641396489095,1.791759469228055,1.9459101490553132,1,1,1,1,0,1.3862943611198906,,1,1
2.2512917986064953,4.02535169073515,1.791759469228055,1.9459101490553132,1,1,1,1,0,2.3978952727983707,1.6094379124341003,1,1
1.9242486522741338,4.532599493153256,1.0986122886681096,1.6094379124341003,0,0,0,0,0,1.9459101490553132,1.7047480922384253,0,1
1.599387576580599,3.5263605246161616,1.0986122886681096,1.0986122886681096,1,1,1,0,1,1.5040773967762742,1.4586150226995167,0,1
1.791759469228055,3.713572066704308,1.791759469228055,1.791759469228055,0,0,0,0,1,1.9459101490553132,,1,1
1.9459101490553132,4.343805421853684,1.791759469228055,1.791759469228055,1,1,1,0,1,1.3862943611198906,1.791759469228055,1,1
1.8562979903656263,3.8501476017100584,1.0986122886681096,1.0986122886681096,1,1,1,0,0,1.3862943611198906,1.7227665977411035,0,1
1.4586150226995167,3.58351893845611,1.791759469228055,1.3862943611198906,1,1,1,0,0,1.3862943611198906,,1,1
1.916922612182061,4.02535169073515,1.6094379124341003,1.791759469228055,1,1,1,0,0,1.3862943611198906,,1,1
0.9516578757114464,4.219507705176107,0.6931471805599453,1.0986122886681096,1,1,0,1,1,2.1972245773362196,1.7578579175523736,0,0
2.6741486494265287,4.290459441148391,1.3862943611198906,1.791759469228055,1,1,1,1,0,1.9459101490553132,1.6094379124341003,0,1
1.8946168546677629,3.4339872044851463,1.0986122886681096,1.3862943611198906,1,1,1,1,0,1.7047480922384253,1.7047480922384253,0,1
1.4816045409242156,3.58351893845611,1.791759469228055,1.3862943611198906,0,0,0,0,0,1.3862943611198906,,1,1
1.2781522025001875,4.110873864173311,1.0986122886681096,1.6094379124341003,1,1,1,1,0,1.791759469228055,,0,0
1.1939224684724346,3.58351893845611,1.6094379124341003,1.791759469228055,0,0,0,0,1,1.3862943611198906,1.5686159179138452,1,0
1.864080130807681,4.02535169073515,1.0986122886681096,1.3862943611198906,1,1,0,0,0,1.3862943611198906,1.547562508716013,0,1
2.0541237336955462,3.713572066704308,1.791759469228055,1.6094379124341003,1,1,1,1,0,1.9459101490553132,,1,1
1.791759469228055,4.48863636973214,,,0,0,0,0,1,,,0,0
1.9530276168241771,3.828641396489095,1.3862943611198906,1.6094379124341003,1,1,1,0,0,1.9459101490553132,1.6094379124341003,0,1
2.772588722239781,4.189654742026425,2.0794415416798357,2.0794415416798357,1,1,1,1,1,2.3978952727983707,1.791759469228055,1,1
1.55814461804655,4.394449154672439,1.3862943611198906,1.6094379124341003,0,0,0,0,1,1.9459101490553132,1.791759469228055,0,1
1.5040773967762742,4.394449154672439,1.0986122886681096,1.3862943611198906,0,0,0,0,1,1.9459101490553132,1.791759469228055,0,0
0.8960880245566356,3.713572066704308,1.0986122886681096,1.0986122886681096,0,0,0,0,0,1.3862943611198906,1.6094379124341003,0,1
1.8870696490323797,4.110873864173311,1.3862943611198906,1.6094379124341003,1,1,1,1,1,2.5649493574615367,,0,1
1.599387576580599,3.8918202981106265,1.6094379124341003,1.791759469228055,0,0,0,0,0,1.5040773967762742,,1,1
1.7047480922384253,3.58351893845611,1.6094379124341003,1.0986122886681096,0,0,0,0,0,1.5040773967762742,,1,1
1.536867219599265,4.51085950651685,1.3862943611198906,1.6094379124341003,0,0,0,0,1,1.9459101490553132,1.791759469228055,0,1
1.4816045409242156,3.58351893845611,1.791759469228055,1.6094379124341003,1,0,1,0,0,1.3862943611198906,1.5040773967762742,1,0
1.599387576580599,3.58351893845611,1.791759469228055,1.3862943611198906,0,0,0,0,0,1.3862943611198906,,1,1
2.6741486494265287,4.836281906951478,1.791759469228055,1.791759469228055,0,0,0,0,1,2.302585092994046,2.0794415416798357,1,1
1.589235205116581,3.58351893845611,1.791759469228055,1.6094379124341003,1,1,0,1,0,1.3862943611198906,1.791759469228055,1,0
1.085189268335969,4.795790545596741,1.6094379124341003,1.6094379124341003,1,1,0,1,0,1.9459101490553132,1.6094379124341003,0,0
2.115049969147204,4.110873864173311,1.6094379124341003,1.791759469228055,1,1,1,1,1,2.0794415416798357,1.791759469228055,0,0
1.916922612182061,3.713572066704308,1.3862943611198906,1.3862943611198906,1,1,1,1,1,1.3862943611198906,1.667706820558076,0,1
2.0149030205422647,4.02535169073515,1.3862943611198906,1.6094379124341003,1,1,1,1,1,1.791759469228055,1.7578579175523736,0,1
1.8870696490323797,4.189654742026425,1.3862943611198906,1.6094379124341003,1,1,1,1,1,2.3978952727983707,1.667706820558076,0,0
0.7654678421395714,4.343805421853684,0.6931471805599453,1.3862943611198906,1,1,0,0,0,1.9459101490553132,1.791759469228055,0,0
2.0980179272527715,4.110873864173311,1.3862943611198906,1.6094379124341003,1,1,1,1,1,2.0794415416798357,1.791759469228055,0,0
2.020222182019865,4.060443010546419,1.6094379124341003,1.6094379124341003,1,1,1,1,0,1.791759469228055,1.7404661748405044,0,1
1.943048916774281,3.9318256327243257,1.791759469228055,1.6094379124341003,1,1,1,0,1,1.5040773967762742,1.791759469228055,1,0
2.667228206581955,4.430816798843313,1.3862943611198906,1.6094379124341003,1,1,0,1,0,1.9459101490553132,1.8718021769015913,0,1
1.547562508716013,4.820281565605037,1.0986122886681096,1.0986122886681096,1,1,1,1,0,1.6094379124341003,1.9459101490553132,0,1
1.8870696490323797,3.828641396489095,1.6094379124341003,1.6094379124341003,1,1,0,1,1,1.3862943611198906,,1,0
1.4586150226995167,3.4339872044851463,1.791759469228055,1.3862943611198906,0,0,0,0,0,1.0986122886681096,1.6094379124341003,1,1
1.6863989535702286,3.9318256327243257,1.791759469228055,1.3862943611198906,1,1,1,0,0,1.3862943611198906,1.791759469228055,1,1
1.7578579175523736,4.02535169073515,1.6094379124341003,1.6094379124341003,1,1,1,0,0,1.5040773967762742,1.6094379124341003,1,1
1.252762968495368,3.58351893845611,1.791759469228055,1.3862943611198906,1,1,1,0,0,1.3862943611198906,,1,0
2.3608540011180215,4.394449154672439,1.3862943611198906,1.3862943611198906,1,1,1,1,0,1.791759469228055,1.7578579175523736,0,1
2.1041341542702074,3.6635616461296463,1.6094379124341003,1.791759469228055,1,1,1,1,1,1.9459101490553132,1.5686159179138452,0,1
1.4469189829363254,3.4965075614664802,1.3862943611198906,1.0986122886681096,0,0,0,0,0,1.9459101490553132,1.6094379124341003,1,1
1.2947271675944,4.07753744390572,,,0,0,0,0,0,1.791759469228055,1.7227665977411035,1,0
2.302585092994046,3.828641396489095,2.0794415416798357,1.6094379124341003,1,1,1,1,1,2.1972245773362196,1.791759469228055,1,1
1.5686159179138452,3.784189633918261,1.6094379124341003,1.3862943611198906,1,1,1,1,0,1.9459101490553132,1.667706820558076,1,1
2.624668592163159,4.02535169073515,1.791759469228055,1.9459101490553132,1,1,1,1,0,2.1972245773362196,1.6094379124341003,0,1
1.667706820558076,3.713572066704308,1.791759469228055,1.3862943611198906,0,0,0,0,1,1.791759469228055,1.791759469228055,1,1
2.4849066497880004,4.48863636973214,0.6931471805599453,1.9459101490553132,1,1,1,1,0,1.9459101490553132,1.8245492920510458,0,1
0.6931471805599453,4.61512051684126,0.6931471805599453,1.6094379124341003,1,1,1,1,1,2.3978952727983707,1.791759469228055,0,0
2.302585092994046,4.110873864173311,1.3862943611198906,1.3862943611198906,1,1,1,1,0,1.9459101490553132,1.6094379124341003,0,1
0.7419373447293773,4.61512051684126,1.0986122886681096,1.3862943611198906,0,0,0,0,1,2.5649493574615367,1.791759469228055,0,0
2.0255131996542803,4.110873864173311,1.0986122886681096,1.3862943611198906,1,1,1,1,1,2.3978952727983707,1.547562508716013,0,1
1.7227665977411035,4.007333185232471,1.3862943611198906,1.3862943611198906,0,0,0,0,0,1.3862943611198906,,1,1
2.6026896854443837,4.204692619390966,0.6931471805599453,1.3862943611198906,0,0,0,0,0,1.7047480922384253,1.6094379124341003,0,1
1.423108334242607,4.564348191467836,1.3862943611198906,1.791759469228055,1,1,1,1,1,2.5649493574615367,1.791759469228055,0,1
1.423108334242607,4.564348191467836,1.0986122886681096,1.791759469228055,0,0,0,0,1,2.3978952727983707,1.791759469228055,0,1
1.6582280766035324,3.5553480614894135,1.791759469228055,1.3862943611198906,1,1,1,1,0,1.6094379124341003,1.791759469228055,1,1
2.1972245773362196,4.795790545596741,0.6931471805599453,1.6094379124341003,0,0,0,0,0,1.791759469228055,1.9459101490553132,0,1
1.269760544863939,3.713572066704308,1.3862943611198906,1.6094379124341003,0,0,0,0,0,1.9459101490553132,1.6094379124341003,0,0
1.3428648031925547,4.189654742026425,0.6931471805599453,1.3862943611198906,0,0,0,0,0,1.9459101490553132,1.791759469228055,0,0
1.589235205116581,3.4965075614664802,1.791759469228055,1.791759469228055,1,1,1,1,1,2.5649493574615367,1.3862943611198906,1,1
1.0818051703517284,4.442651256490317,0.6931471805599453,1.0986122886681096,0,0,0,1,1,1.6094379124341003,1.6486586255873816,0,1
2.028148247292285,3.58351893845611,1.6094379124341003,1.6094379124341003,1,1,1,1,0,1.9459101490553132,1.5040773967762742,0,1
2.5877640352277083,4.795790545596741,1.6094379124341003,1.6094379124341003,1,1,1,1,0,2.1972245773362196,1.791759469228055,0,1
1.6094379124341003,3.4339872044851463,1.791759469228055,1.6094379124341003,1,1,1,1,1,1.3862943611198906,1.3862943611198906,1,1
1.80005827204275,4.23410650459726,1.3862943611198906,1.6094379124341003,1,1,1,1,0,1.791759469228055,2.028148247292285,0,0
1.4929040961781488,4.3694478524670215,1.0986122886681096,1.6094379124341003,1,1,1,1,1,1.9459101490553132,1.791759469228055,0,1
2.639057329615259,4.23410650459726,2.1972245773362196,1.6094379124341003,1,1,1,1,0,2.1972245773362196,,1,1
2.2407096892759584,4.0943445622221,1.791759469228055,2.0794415416798357,1,1,1,1,0,1.9459101490553132,1.791759469228055,1,1
1.6486586255873816,4.51085950651685,1.0986122886681096,1.6094379124341003,1,1,1,1,1,2.1972245773362196,1.791759469228055,0,1
2.0541237336955462,4.709530201312334,1.3862943611198906,1.3862943611198906,1,1,1,0,0,1.791759469228055,1.6094379124341003,0,1
1.547562508716013,4.110873864173311,0.6931471805599453,1.3862943611198906,0,0,0,0,0,1.6094379124341003,1.6094379124341003,0,1
1.9459101490553132,4.02535169073515,1.791759469228055,1.6094379124341003,1,1,1,1,0,1.6094379124341003,1.7047480922384253,1,1
1.9459101490553132,4.394449154672439,0.6931471805599453,2.0794415416798357,1,1,1,0,0,1.5040773967762742,1.8718021769015913,0,1
1.6900958154515549,3.784189633918261,1.3862943611198906,1.3862943611198906,1,1,1,0,0,1.3862943611198906,1.9459101490553132,0,1
2.0918640616783932,4.574710978503383,1.6094379124341003,1.6094379124341003,1,1,1,1,0,1.791759469228055,1.6094379124341003,0,1
1.7227665977411035,4.007333185232471,1.3862943611198906,1.3862943611198906,0,0,0,0,0,1.3862943611198906,,1,1
2.302585092994046,3.828641396489095,2.0794415416798357,1.6094379124341003,1,1,1,1,0,2.1972245773362196,1.791759469228055,1,1
